processo,cd_acordao,classe,assunto,relator,comarca,orgao_julgador,camara,secao,data_julgamento,data_publicacao,valor_indenizacao,tem_dano_moral,houve_majoracao,n_palavras_ementa,ementa
1010756-71.2025.8.26.0100,20805260,Apelação Cível,Fornecimento de medicamentos,Gilberto Franceschini,São Paulo,Núcleo 4.0-T. III (DP1),,,05/08/2026,05/08/2026,,False,False,567,"APELAÇÃO. PLANO DE SAÚDE . MEDICAMENTO ONTOZRY (CENOBAMATO). NEGATIVA DE COBERTURA FUNDADA NA AUSÊNCIA DE REGISTRO NA ANVISA E NA AUSÊNCIA DE PREVISÃO NO ROL DA ANS. INCIDÊNCIA DO ART. 10, §13, DA LEI Nº 9.656/98, COM REDAÇÃO DADA PELA LEI Nº 14.454/2022. COMPROVAÇÃO DE EFICÁCIA TERAPÊUTICA. APROVAÇÃO POR ÓRGÃOS REGULADORES INTERNACIONAIS. DISTINÇÃO DAS PECULIARIDADES DO CASO CONCRETO EM RELAÇÃO AO TEMA 990 DO STJ. SENTENÇA DE PROCEDÊNCIA. HONORÁRIOS SUCUMBENCIAIS MANTIDOS. RECURSO DESPROVIDO.

I. Caso em Exame
1. Recurso de apelação interposto por Sul América Companhia de Seguro Saúde S/A contra a r. sentença que julgou procedente ação de obrigação de fazer ajuizada por Rodrigo Costa Bomfim, confirmando tutela de urgência e determinando o custeio do medicamento Ontozry (Cenobamato) 200mg/dia para tratamento de epilepsia focal refratária. 
2. A operadora sustenta, em síntese, que o medicamento não possui registro na ANVISA, não integra o rol da ANS, possui exclusão contratual de cobertura, incide a tese firmada no Tema 990 do STJ e, subsidiariamente, requer a alteração da base de cálculo dos honorários sucumbenciais.

II. Questão em Discussão 
3. Há duas questões em discussão:
(i) se a operadora de saúde está obrigada ao custeio do medicamento Ontozry (Cenobamato), prescrito ao autor para tratamento de epilepsia focal refratária, apesar da ausência de registro nacional e da inexistência de previsão específica no rol da ANS; e
(ii) se comporta reforma a condenação sucumbencial fixada na origem.

III. Razões de Decidir 
4. A relação de consumo entre as partes, com a ré como fornecedora de serviço de seguro saúde, impõe a aplicação do Código de Defesa do Consumidor, conforme Súmula 608 do STJ. A negativa de cobertura é considerada abusiva, pois o medicamento possui aprovação por autoridades sanitárias internacionais e autorização de importação excepcional pela ANVISA. 
5. O autor é portador de epilepsia focal refratária grave, com falha em tratamentos anteriores e impossibilidade de intervenção cirúrgica. A introdução do medicamento Ontozry resultou em significativa melhora clínica, mantendo o paciente sem crises por 74 dias. A operadora não apresentou contraprova técnica que desqualificasse a eficácia do tratamento. 
6. A jurisprudência consolidada deste Tribunal e o entendimento dominante sobre o direito à saúde indicam que o rol da ANS é exemplificativo, constituindo uma referência mínima de cobertura obrigatória. A cobertura pode ser admitida fora desse rol quando comprovada a necessidade clínica e eficácia do tratamento, conforme prescrição médica fundamentada. 
7. A Lei nº 14.454/2022, que introduziu os §§ 12 e 13 ao artigo 10 da Lei nº 9.656/1998, reforça que a cobertura deve ser autorizada quando houver comprovação da eficácia do tratamento ou recomendação de órgãos internacionais. A negativa de cobertura após a vigência dessa lei é considerada abusiva.

IV. Dispositivo e Tese 
8. Recursos desprovidos. 

Tese de julgamento: 1. A autorização excepcional de importação concedida pela ANVISA afasta a vedação prevista no Tema 990 do STJ, permitindo o custeio do medicamento pelo plano de saúde . 2. A negativa de cobertura de tratamento médico prescrito por profissional habilitado, com respaldo técnico e autorização sanitária excepcional, configura conduta abusiva e violadora do dever de boa-fé contratual.

Legislação Citada:
CF/1988, art. 1º, III; Lei nº 9.656/98, arts. 10, V, e 12; Lei nº 14.454/2022; CDC, arts. 4º e 51; CPC, art. 85.

Jurisprudência Citada: STJ, REsp 1.712.163/SP (Tema 990), Rel. Min. Moura Ribeiro, DJe 26.11.2018; STJ, REsp 1.899.380/SP, Rel. Min. Marco Buzzi, DJe 12.11.2020; TJSP, Apelação Cível 1000818-52.2024.8.26.0176, Rel. Clara Maria Araújo Xavier, j. 03.07.2026."
1010422-27.2023.8.26.0223,20804941,Apelação Cível,Planos de saúde,Miguel Brandi,Guarujá,7ª Câmara de Direito Privado,7,Direito Privado,05/08/2026,05/08/2026,,False,False,120,"OBRIGAÇÃO DE FAZER COMBINADA COM INDENIZATÓRIA POR DANOS MORAIS – Plano de assistência à saúde – Acórdão que negou provimento ao recurso mantendo a condenação da requerida ao custeio do tratamento da autora, na forma determinada na sentença – Reapreciação do recurso por determinação do STJ – Insurgência da ré – Alegação de não haver previsão dos procedimentos médicos solicitados, no rol de coberturas obrigatórias de planos de saúde da ANS – Contrato que prevê o reembolso de despesas médico-hospitalares para atendimentos obstétricos que se relacionem ao pré-natal e à gestação, bem como para internações cirúrgicas, inclusive decorrentes de emergência ou urgência – Negativa de reembolso injustificada – Parecer favorável do Nat-Jus – Acórdão mantido – RECURSO DA REQUERIDA DESPROVIDO."
1000596-68.2025.8.26.0073,20805274,Apelação Cível,Planos de saúde,Galdino Toledo Júnior,Avaré,9ª Câmara de Direito Privado,9,Direito Privado,05/08/2026,05/08/2026,10000.0,True,False,143,"PLANO DE SAÚDE - Negativa de cobertura de cirurgia indicada à autora - Pleito cumulado com indenização por danos morais - Procedência parcial decretada, afastando o pleito reparatório moral - Apelo que versa apenas sobre a condenação da ré em indenização por danos morais - Alegação da autora de que a negativa de cobertura da ré intensificou seu sofrimento físico, emocional e psíquico, especialmente ante o quadro clínico apresentado, o que justifica a condenação da ré no pagamento de danos morais - Cabimento - Recusa baseada em cláusula contratual que, ao tempo da propositura da ação, já era reconhecida como nula pelo entendimento pretoriano - Conduta que, assim, passou a gerar dano moral pelos enormes dissabores e dificuldades trazidos ao consumidor prejudicado - Fixação da verba reparatória em R$ 10.000,00 que se mostra razoável para compensar o sofrimento moral - Recurso parcialmente provido."
1020758-55.2024.8.26.0482,20804967,Apelação Cível,Fornecimento de medicamentos,Fernando Marcondes,Presidente Prudente,2ª Câmara de Direito Privado,2,Direito Privado,31/07/2026,05/08/2026,,False,False,300,"Direito do consumidor. Apelação. Plano de saúde . Fornecimento de medicamento. neoplasia maligna de mama. Coparticipação. Ausência de clareza. Abusividade. Recurso desprovido.

I. Caso em exame
1. Apelação interposta contra sentença que julgou procedente ação para condenar operadora de plano de saúde a custeio integral de medicamento oncológico de alto custo, afastando cobrança de coparticipação contratual.

II. Questão em discussão
2. A questão em discussão consiste em verificar a legalidade da cobrança de coparticipação em tratamento oncológico, à luz do contrato e da legislação consumerista, e se sua exigência inviabiliza o acesso ao tratamento.

III. Razões de decidir
3. A coparticipação é admitida pelo art. 16, VIII, da Lei nº 9.656/98, desde que prevista de forma clara e não haja restrição ao acesso ao serviço.
4. No caso, inexistente previsão contratual específica para incidência sobre medicamento oncológico de alto custo, sendo insuficiente cláusula genérica.
5. A cobrança em valor elevado configura fator restritivo severo, equiparável à negativa indireta de cobertura, afrontando os arts. 6º, III, e 51, IV, do CDC, bem como a boa-fé objetiva e a função social do contrato.

IV. Dispositivo e tese
6. Recurso desprovido.

Tese de julgamento: ""A cláusula de coparticipação em plano de saúde , ainda que válida em abstrato, é abusiva quando aplicada de modo a inviabilizar o acesso a tratamento essencial, especialmente em casos de medicamento oncológico de alto custo.""
Legislação citada: CDC, arts. 6º, III, 47 e 51, IV; Lei 9.656/98, art. 16, VIII; CC, arts. 421 e 422; CPC, art. 85, § 11.

Jurisprudência citada: STJ, Tema 1.032; REsp 1.188.442/RJ, Rel. Min. Luís Felipe Salomão, DJe de 05/02/2013; TJSP, Apelação Cível 1005736-45.2024.8.26.0291, Rel. Pedro de Alcântara da Silva Leme Filho, 8ª Câmara de Direito Privado, j. 24/10/2025; Apelação Cível 1000266-82.2025.8.26.0619, Rel. Ramon Mateo Júnior, 6ª Câmara de Direito Privado, j. 22/10/2025."
1010935-63.2024.8.26.0577,20804966,Apelação Cível,Tratamento médico-hospitalar,Fernando Marcondes,São José dos Campos,2ª Câmara de Direito Privado,2,Direito Privado,24/07/2026,05/08/2026,,True,False,266,"Direito civil e do consumidor. Apelação. Plano de saúde . Ação de obrigação de fazer c/ indenização por danos morais. Cirurgia pós-bariátrica. Perícia conclusiva. Procedimentos de caráter estético. Recurso desprovido.

I. Caso em exame
1. Apelação interposta contra sentença que julgou parcialmente procedente pedido de cobertura, por plano de saúde , de cirurgias plásticas pós-bariátrica, bem como de indenização por danos morais, ao fundamento de que somente dois procedimentos possuem caráter reparador.

II. Questão em discussão
2. A questão em discussão consiste em: (i) a natureza das cirurgias pleiteadas (reparadora/funcional ou estética) e a consequente obrigatoriedade de cobertura; (ii) a caracterização de dano moral decorrente da negativa.

III. Razões de decidir
3. A prova pericial concluiu, de forma objetiva, que os procedimentos pretendidos, com exceção de dermolipectomia abdominal e da herniorrafia umbilical, não apresentam caráter funcional ou reparador, inexistindo incapacidade, lesões dermatológicas ou comprometimento relevante à saúde da paciente.
4. O Tema 1.069 do STJ condiciona a cobertura obrigatória à natureza reparadora ou funcional da cirurgia, hipótese não verificada no caso concreto.

IV. Dispositivo e tese
5. Recurso desprovido.

Tese de julgamento: ""A cobertura de cirurgia plástica pós-bariátrica pelo plano de saúde depende da comprovação de seu caráter reparador ou funcional, não sendo obrigatória quando demonstrada sua finalidade estética por prova pericial.""

Legislação citada: Lei nº 9.656/98; CPC, arts. 85, § 11 e 98, § 3º.

Jurisprudência citada: STJ, Tema 1.069; TJSP, Apelação Cível 1009366-22.2024.8.26.0320, Rel. Alexandre Lazzarini, 9ª Câmara de Direito Privado, j. 19/11/2025; Apelação Cível 1038287-46.2022.8.26.0001, Relatora: Mara Trippo Kimura, Núcleo de Justiça 4.0 em Segundo Grau Turma III (Direito Privado 1), j. 19/11/2025."
1007134-87.2025.8.26.0292,20804979,Apelação Cível,Tratamento médico-hospitalar,Marcos de Lima Porta,Jacareí,Núcleo 4.0-T. V (DP1),,,05/08/2026,05/08/2026,5000.0,False,False,214,"DIREITO PROCESSUAL CIVIL. APELAÇÃO. OBRIGAÇÃO DE FAZER. DANOS MORAIS. NEGADO PROVIMENTO.
I. Caso em Exame
1. Recurso de apelação interposto por Hapvida Assistência Médica S.A. contra sentença que julgou parcialmente procedente ação de obrigação de fazer cumulada com indenização por danos morais, determinando o custeio integral de procedimento cirúrgico e condenando ao pagamento de R$ 5.000,00 por danos morais.
II. Questão em Discussão
2. A questão em discussão consiste na nulidade da citação eletrônica e na inexistência de obrigação de custear o procedimento cirúrgico nos moldes determinados, além da improcedência do pedido indenizatório.
III. Razões de Decidir
3. A citação eletrônica foi regularmente realizada, não havendo prova de falha sistêmica que justifique a nulidade.
4. A negativa de cobertura do procedimento cirúrgico prescrito, essencial para o tratamento de doença rara, caracteriza ingerência indevida e justifica a condenação por danos morais.
IV. Dispositivo e Tese
5. Recurso desprovido, mantendo-se a sentença que determinou o custeio integral do procedimento e a indenização por danos morais.
Tese de julgamento: 1. A citação eletrônica regular não pode ser anulada por alegações genéricas de falha sistêmica. 2. A negativa de cobertura de procedimento essencial para tratamento de doença rara justifica a condenação por danos morais.
Legislação Citada:
Código de Processo Civil, artigo 85, § 11; artigo 1.026, § 2º."
1175958-71.2023.8.26.0100,20804978,Apelação Cível,Planos de saúde,Marcos de Lima Porta,São Paulo,Núcleo 4.0-T. V (DP1),,,05/08/2026,05/08/2026,,False,False,260,"DIREITO CIVIL. APELAÇÃO. PLANO DE SAÚDE . RECURSO PROVIDO. READEQUAÇÃO DO ACÓRDÃO.
I. Caso em Exame
1. Ação de obrigação de fazer cumulada com indenização por danos materiais e morais devido à negativa de cobertura e custeio de tratamento médico prescrito à demandante pela operadora de saúde, sob a justificativa de ausência de previsão no rol da ANS. A apelada, beneficiária do plano de saúde , foi diagnosticada com puberdade precoce e teve o custeio do medicamento Neodecapeptyl negado pela apelante.
II. Questão em Discussão
2. A questão em discussão consiste em (i) a possibilidade de superação da taxatividade do rol da ANS mediante comprovação da necessidade do medicamento e (ii) a necessidade de consulta ao NAT-Jus para dirimir divergência técnica sobre a eficácia do tratamento.
III. Razões de Decidir
3. O STJ entende que a taxatividade do rol da ANS pode ser superada com comprovação efetiva da necessidade do medicamento.
4. Divergência técnica sobre a eficácia do tratamento médico indicado requer consulta prévia ao NAT-Jus, conforme recomendação do CNJ.
IV. Dispositivo e Tese
5. Recurso provido para afastar a sentença e determinar o retorno dos autos à origem para realização de parecer técnico pelo NAT-Jus.
Tese de julgamento: 1. A taxatividade do rol da ANS pode ser superada mediante comprovação efetiva da necessidade do medicamento. 2. Divergências técnicas sobre tratamentos médicos devem ser dirimidas com consulta ao NAT-Jus.
Legislação Citada:
CF/1988, art. 105, III, ""a""; Lei nº 9.656/1998, art. 10, §§ 12 e 13; CPC, arts. 1.022, II, 1.026, § 2º, e 373.
Jurisprudência Citada:
STF, ADI nº 7.265/DF."
1009291-84.2025.8.26.0566,20804888,Apelação Cível,Tratamento médico-hospitalar,Marcos de Lima Porta,São Carlos,Núcleo 4.0-T. V (DP1),,,05/08/2026,05/08/2026,,False,False,181,"Direito Civil. Apelação. Contratos. Pedido julgado parcialmente procedente.
I. Caso em Exame
1. A requerente, beneficiária de plano de saúde , teve negado o custeio de cirurgia de urgência para fratura no joelho esquerdo e arcou com os custos. A sentença determinou o ressarcimento dos gastos, mas rejeitou a indenização por danos morais.
II. Questão em Discussão
2. A questão em discussão consiste em: (i) a possibilidade de indenização por danos morais devido à negativa de cobertura de cirurgia de urgência; (ii) a interpretação de cláusulas contratuais de plano de saúde .
III. Razões de Decidir
3. A recusa de cobertura foi baseada na interpretação de cláusulas contratuais, não ensejando indenização por danos morais.
4. Não houve comprovação de agravamento da dor ou de abalo psicológico significativo, pois a cirurgia foi realizada na rede particular pouco após o evento.
IV. Dispositivo e Tese
5. Recurso improvido.
Tese de julgamento: 1. A interpretação de cláusulas contratuais não gera indenização por danos morais. 2. A realização rápida do procedimento minimiza efeitos da recusa.
Legislação Citada:
Código de Processo Civil, art. 85, § 11."
1026154-72.2023.8.26.0506,20804962,Apelação Cível,Tratamento médico-hospitalar,Fernando Marcondes,Ribeirão Preto,2ª Câmara de Direito Privado,2,Direito Privado,24/07/2026,05/08/2026,,True,False,282,"Direito civil e do consumidor. Apelação. Plano de saúde . Ação de obrigação de fazer c/ indenização por danos morais. Cirurgia pós-bariátrica. Perícia conclusiva. Procedimentos de caráter estético. Recurso desprovido.

I. Caso em exame
1. Apelação interposta contra sentença que julgou improcedente pedido de cobertura, por plano de saúde , de cirurgia plástica pós-bariátrica, bem como de indenização por danos morais, ao fundamento de que os procedimentos possuem caráter estético.

II. Questão em discussão
2. A questão em discussão consiste em: (i) a natureza das cirurgias pleiteadas (reparadora/funcional ou estética) e a consequente obrigatoriedade de cobertura; (ii) a caracterização de dano moral decorrente da negativa.

III. Razões de decidir
3. A prova pericial concluiu, de forma objetiva, que os procedimentos pretendidos, com exceção de abdominoplastia, não apresentam caráter funcional ou reparador, inexistindo incapacidade, lesões dermatológicas ou comprometimento relevante à saúde da paciente.
4. O Tema 1.069 do STJ condiciona a cobertura obrigatória à natureza reparadora ou funcional da cirurgia, hipótese não verificada no caso concreto.
5. Negativa de cobertura fundada em interpretação legítima do contrato e em suporte técnico não configura ato ilícito, afastando o dever de indenizar.

IV. Dispositivo e tese
6. Recurso desprovido.

Tese de julgamento: ""A cobertura de cirurgia plástica pós-bariátrica pelo plano de saúde depende da comprovação de seu caráter reparador ou funcional, não sendo obrigatória quando demonstrada sua finalidade estética por prova pericial.""

Legislação citada: Lei nº 9.656/98; CPC, arts. 85, § 2º e 98, § 3º.

Jurisprudência citada: STJ, Tema 1.069; TJSP, Apelação Cível 1009366-22.2024.8.26.0320, Rel. Alexandre Lazzarini, 9ª Câmara de Direito Privado, j. 19/11/2025; Apelação Cível 1038287-46.2022.8.26.0001, Relatora: Mara Trippo Kimura, Núcleo de Justiça 4.0 em Segundo Grau Turma III (Direito Privado 1), j. 19/11/2025."
1021772-28.2025.8.26.0001,20804894,Apelação Cível,Tratamento médico-hospitalar,Marcos de Lima Porta,São Paulo,Núcleo 4.0-T. V (DP1),,,05/08/2026,05/08/2026,,False,True,191,"Direito Civil. Apelação. Contratos. Pedido julgado procedente.
I. Caso em Exame
1. A d, beneficiária de plano de saúde , necessitou de internação urgente devido a sintomas respiratórios graves. A operadora negou cobertura alegando período de carência, mas a sentença determinou a cobertura e indenização por danos morais.
II. Questão em Discussão
2. A questão em discussão consiste em: (i) a interpretação de cláusulas contratuais de plano de saúde e a possibilidade de indenização por danos morais; (ii) a majoração do valor fixado a título de danos morais.
III. Razões de Decidir
3. A negativa de cobertura foi indevida, pois o prazo de carência de 24 horas para urgência já estava superado.
4. A recusa resultou de interpretação de cláusulas contratuais, não ensejando indenização por danos morais. A tutela de urgência reduziu os impactos da negativa.
IV. Dispositivo e Tese
5. Recurso da operadora de saúde provido; recurso da parte requerente desprovido.
Tese de julgamento: 1. Interpretação de cláusulas contratuais não gera indenização por danos morais. 2. A tutela de urgência reduz impactos da negativa de cobertura .
Legislação Citada:
Código Civil, art. 475
Código de Processo Civil, art. 85, §11"
1010215-10.2025.8.26.0562,20804864,Apelação Cível,Tratamento médico-hospitalar,Marcos de Lima Porta,Santos,Núcleo 4.0-T. V (DP1),,,05/08/2026,05/08/2026,10000.0,True,False,233,"DIREITO CIVIL. AÇÃO DE OBRIGAÇÃO DE FAZER CUMULADA COM INDENIZAÇÃO POR DANOS MORAIS. PLANO DE SAÚDE . DEMORA NA DISPONIBILIZAÇÃO DE LEITO HOSPITALAR. RECURSO DESPROVIDO.
I. Caso em Exame
1. Beneficiária de plano de saúde ajuizou ação em razão da demora injustificada na disponibilização de leito hospitalar, apesar de recomendação médica para internação por broncopneumonia e infecção urinária. A indenização por danos morais foi reduzida de R$ 10.000,00 para R$ 5.000,00 em apelação.
II. Questão em Discussão
2. A questão em discussão consiste em verificar se a demora na internação hospitalar, em contexto de grave quadro clínico, configura dano moral indenizável, à luz do Tema Repetitivo nº 1365 do STJ.
III. Razões de Decidir
3. A situação não se limita à simples recusa de cobertura, mas envolve a permanência prolongada de paciente idosa em pronto atendimento, com risco de agravamento do quadro clínico.
4. As circunstâncias demonstram angústia e sofrimento psicológico que ultrapassam meros dissabores contratuais, justificando a indenização por dano moral.
IV. Dispositivo e Tese
5. Recurso desprovido.
Tese de julgamento: 1. A demora na internação hospitalar, em contexto de grave quadro clínico, pode configurar dano moral indenizável. 2. A indenização é cabível quando há elementos concretos que demonstram repercussão relevante na esfera pessoal do beneficiário.
Legislação Citada:
Código de Processo Civil, art. 1.030, II; art. 1.026, § 2º.
Jurisprudência Citada:
STJ, Recursos Especiais nºs 2.165.670/SP e 2.197.574/SP, Tema Repetitivo nº 1365."
1021282-06.2024.8.26.0562,20804206,Apelação Cível,Tratamento médico-hospitalar,Márcio Boscaro,Santos,10ª Câmara de Direito Privado,10,Direito Privado,05/08/2026,05/08/2026,8000.0,False,False,129,"APELAÇÃO. PLANO DE SAÚDE . AÇÃO DE OBRIGAÇÃO DE FAZER, CUMULADA COM INDENIZAÇÃO POR DANOS MORAIS. TRANSPLANTE DE CÓRNEA, FACOEMULSIFICAÇÃO E IMPLANTE DE LENTE INTRAOCULAR. RECUSA. PROCEDÊNCIA. Beneficiária contemplada para realização do procedimento. Hospital que acompanhava o caso sem acordo comercial para realização do transplante. Comprovação documental da negativa. Descredenciamento de prestador sem demonstração de substituição equivalente. Violação ao artigo 17 da Lei nº 9.656/98. Ausência de indicação de prestador apto no município de residência da autora. Aplicação da RN ANS nº 566/22. Custeio integral corretamente determinado. Danos morais configurados. Situação que extrapola mero inadimplemento contratual. Grave enfermidade oftalmológica. Incerteza quanto à realização de procedimento indispensável à preservação da função visual. Indenização fixada em R$ 8.000,00. Valor compatível com os princípios da razoabilidade e proporcionalidade. Sentença mantida. RECURSO DESPROVIDO."
1021074-77.2024.8.26.0576,20804186,Apelação Cível,Tratamento médico-hospitalar,Márcio Boscaro,São José do Rio Preto,10ª Câmara de Direito Privado,10,Direito Privado,05/08/2026,05/08/2026,,False,False,163,"APELAÇÕES CÍVEIS. PLANO DE SAÚDE . MENOR DIAGNOSTICADO COM TDAH E OUTRAS DIFICULDADES COGNITIVAS. TRATAMENTO DE PSICOMOTRICIDADE. SENTENÇA DE PARCIAL PROCEDÊNCIA. Recurso do autor. Danos morais. Inocorrência. Hipótese de controvérsia acerca da adequação e proximidade de prestador credenciado, e não de negativa absoluta de cobertura. Ausência de abalo extrapatrimonial excepcional. Recurso desprovido. Recurso da operadora. Preliminares de cerceamento de defesa e nulidade da sentença afastadas. Controvérsia suficientemente dirimida pela prova documental. Obrigação de fazer certa e determinável. Ausência de comprovação de prestador credenciado apto em distância razoável da residência do menor. Cabimento do custeio do tratamento particular e do reembolso das despesas realizadas. Honorários advocatícios. Necessidade de adequação da base de cálculo. Existência de condenação economicamente aferível. Incidência do artigo 85, §2º, do CPC, em conformidade com o tema nº 1.076 do STJ. Honorários que devem incidir sobre o valor da condenação, e não sobre o valor da causa. Sentença reformada, apenas nesse ponto. RECURSO DO AUTOR DESPROVIDO. RECURSO DA REQUERIDA PARCIALMENTE PROVIDO."
1018148-20.2025.8.26.0405,20804535,Apelação Cível,Serviços Hospitalares,Adilson de Araujo,Osasco,31ª Câmara de Direito Privado,31,Direito Privado,04/08/2026,05/08/2026,,False,False,391,"Direito civil e do consumidor. Apelação cível. Ação monitória. Despesas médico-hospitalares. Plano de saúde . Assunção do custeio pela operadora. Afastamento da responsabilidade do consumidor. Recurso provido.
I. Caso em exame
1. Apelação cível interposta contra sentença pela qual julgada procedente ação monitória para cobrança de despesas médico-hospitalares e reconhecida a responsabilidade solidária do consumidor e da operadora de saúde. Apelam os réus pleiteando a condenação exclusiva da operadora de saúde.
II. Questões em discussão
2. A questão em discussão consiste em saber se o consumidor responde solidariamente pelo pagamento de despesas médico-hospitalares quando a operadora de saúde assume o custeio do atendimento perante o beneficiário ou o prestador.
III. Razões de decidir
3. O termo de prestação de serviços médico-hospitalares constitui prova escrita apta a embasar a ação monitória. A circunstância de atendimento médico em contexto de urgência não invalida, por si só, o instrumento de responsabilidade.
4. A operadora de saúde enviou comunicação específica à beneficiária, referente ao atendimento discutido nos autos, na qual orientou a desconsideração da cobrança e declarou que garantiria junto ao prestador todos os custos da internação.
5. A comunicação da operadora gerou legítima confiança na beneficiária. A boa-fé objetiva, o dever de informação e a proteção da confiança impedem a imposição do débito aos consumidores.
6. Reconhecida a responsabilidade da operadora, admite-se sua condenação direta, sem necessidade de prévio pagamento pelo consumidor e posterior reembolso.
IV. Dispositivo e tese
7. Apelação cível conhecida e provida.
 Teses de julgamento: ""1. A assunção do custeio de despesas médico-hospitalares pela operadora de saúde afasta a responsabilidade direta do consumidor pelo pagamento do débito. 2. A cobrança direta do consumidor é incompatível com a boa-fé objetiva quando a operadora gera legítima confiança quanto à cobertura do atendimento. 3. A operadora pode ser condenada diretamente ao pagamento das despesas médico-hospitalares reconhecidas como cobertas.""
_____
Dispositivos relevantes citados: CPC, art. 700; CC, CDC, arts. 4º, III, 6º, III, 46 e 51, IV.
Jurisprudência relevante citada: STJ, Súmula 537; TJSP, Apelação Cível 1003829-75.2022.8.26.0268, Rel. Des. Adilson de Araujo, 31ª Câmara de Direito Privado, j. 14.03.2025; TJSP, Apelação Cível 1000651-43.2024.8.26.0529, Rel. Des. Adilson de Araujo, 31ª Câmara de Direito Privado, j. 24.02.2026; TJSP, Apelação Cível 1182539-68.2024.8.26.0100, Relatora Rosangela Telles, 31ª Câmara de Direito Privado, j. 02/12/2025; TJSP, Apelação Cível 1008477-48.2025.8.26.0477, Rel. Des. Luis Fernando Nishi, 31ª Câmara de Direito Privado, j. 18.05.2026."
1021197-94.2024.8.26.0602,20804663,Apelação Cível,Tratamento médico-hospitalar,Vitor Frederico Kümpel,Sorocaba,4ª Câmara de Direito Privado,4,Direito Privado,05/08/2026,05/08/2026,,False,False,337,"DIREITO CIVIL E DO CONSUMIDOR. APELAÇÕES. PLANO DE SAÚDE . INTERNAÇÃO PSIQUIÁTRICA INVOLUNTÁRIA. CLÍNICA NÃO CREDENCIADA. URGÊNCIA. AUSÊNCIA DE REDE APTA. CUSTEIO INTEGRAL. COPARTICIPAÇÃO JÁ SEGREGADA NO FATURAMENTO. RECURSO DA RÉ DESPROVIDO E RECURSO DO AUTOR PROVIDO.
I. Caso em Exame. 1. Ação declaratória cumulada com obrigação de fazer, ajuizada por beneficiário acometido por grave quadro de dependência química, com indicação de internação involuntária em caráter de urgência. A sentença determinou o custeio integral do tratamento em clínica não credenciada até a alta médica, mas reconheceu o direito da operadora de cobrar coparticipação de 50% a partir do 31º dia de internação.
II. Questões em Discussão. 2. Discute-se: (i) a ocorrência de cerceamento de defesa e a presença de interesse processual; (ii) a obrigação de custeio integral e direto do tratamento realizado fora da rede referenciada; e (iii) a possibilidade de cobrança adicional de coparticipação do autor quando a clínica já emite cobrança à operadora limitada à parcela contratualmente atribuída a ela.
III. Razões de Decidir. 3. A prova documental é suficiente para o julgamento, sendo desnecessária perícia, sobretudo porque a operadora, intimada a se manifestar sobre os pontos controvertidos e a planilha de débitos, permaneceu inerte. 4. A ausência de indicação oportuna de estabelecimento credenciado apto à internação involuntária, em situação de urgência, configura falha na prestação do serviço e impõe o custeio integral do tratamento particular. 5. A validade abstrata da coparticipação prevista no Tema 1.032 do STJ não autoriza cobrança em duplicidade. Demonstrado que o prestador já fatura da operadora apenas os 50% que lhe incumbem após o 30º dia, inexiste valor adicional a ser exigido do beneficiário pela seguradora.
IV. Dispositivo e Tese. 6. Recurso da ré desprovido e recurso do autor provido. Tese de julgamento: 1. A operadora deve custear integralmente a internação emergencial em clínica não credenciada quando não comprovar a disponibilidade de rede apta ao atendimento prescrito. 2. Não cabe cobrança adicional de coparticipação pela operadora quando o prestador já segrega, no próprio faturamento, a parcela de responsabilidade do beneficiário."
1011178-49.2025.8.26.0002,20803616,Apelação Cível,Planos de saúde,Paulo Toledo,São Paulo,Núcleo 4.0-T. III (DP1),,,04/08/2026,04/08/2026,4000.0,True,False,324,"DIREITO À SAÚDE – APELAÇÃO CÍVEL – PLANO DE SAÚDE – NEGATIVA DE COBERTURA – URGÊNCIA – CARÊNCIA CONTRATUAL – DANO MORAL – RECURSO DESPROVIDO.
I. CASO EM EXAME: Ação de obrigação de fazer c.c. indenização por danos morais proposta em face de operadora de plano de saúde e hospital, em razão de negativa de cobertura de internação de menor, sob alegação de carência contratual, com efetivação de cobranças pelo hospital em razão do atendimento prestado. Sentença de procedência parcial, com condenação da operadora de plano de saúde , ao reembolso dos beneficiários e à indenização por danos morais no valor de R$ 4.000,00 para cada um, com a improcedência em relação ao Hospital e à Associação dos Médicos.
II. QUESTÕES EM DISCUSSÃO: (i) saber se é válida cláusula contratual que impõe carência superior a 24 horas em caso de urgência; (ii) saber se a negativa de cobertura autoriza a indenização por danos morais. (iii) saber se o Hospital deve arcar com o pagamento à autora e aos danos morais.
III. RAZÕES DE DECIDIR: 1. Configuração de urgência médica, com risco iminente, tornando abusiva a negativa de cobertura fundada em carência superior a 24 horas. 2. A negativa indevida de cobertura em situação de emergência expõe a saúde e a vida do paciente a risco e amplifica a angústia e o sofrimento próprios da enfermidade, configurando dano extrapatrimonial indenizável. 3. Indenização por danos morais devida e fixada com razoabilidade e proporcionalidade. 4. A condenação solidária do Hospital ao reembolso deve ser afastada. O Hospital prestou efetivamente os serviços. A cobrança particular foi legítima, pois decorreu da recusa da operadora em autorizar a cobertura. O dano (desembolso) foi causado exclusivamente pelo ato ilícito da operadora. O Hospital não pode ser obrigado a devolver o que recebeu licitamente pelos serviços prestados. Ação parcialmente procedente com relação à Sul América e improcedente com relação ao Hospital Albert Einstein e à Associação dos Médicos. 
IV. DISPOSITIVO: Recursos desprovidos."
